"State","Population","Confirmed.Cases","Severity"
"Alabama",5157699,0,0
"Alaska",740133,3,0.41
"Arizona",7582384,4,0.05
"Arkansas",3088354,8,0.26
"California",39431263,15,0.04
"Colorado",5957493,15,0.25
"Connecticut",3675069,0,0
"Delaware",1051917,0,0
"District of Columbia",702250,1,0.14
"Florida",23372215,3,0.01
"Georgia",11180878,5,0.04
"Hawaii",1446146,2,0.14
"Idaho",2001619,0,0
"Illinois",12710158,10,0.08
"Indiana",6924275,8,0.12
"Iowa",3241488,3,0.09
"Kansas",2970606,78,2.63
"Kentucky",4588372,2,0.04
"Louisiana",4597740,2,0.04
"Maine",1405012,0,0
"Maryland",6263220,3,0.05
"Massachusetts",7136171,0,0
"Michigan",10140459,12,0.12
"Minnesota",5793151,5,0.09
"Mississippi",2943045,0,0
"Missouri",6245466,2,0.03
"Montana",1137233,22,1.93
"Nebraska",2005465,1,0.05
"Nevada",3267467,0,0
"New Hampshire",1409032,0,0
"New Jersey",9500851,3,0.03
"New Mexico",2130256,81,3.8
"New York",19867248,13,0.07
"North Carolina",11046024,0,0
"North Dakota",796568,34,4.27
"Ohio",11883304,35,0.29
"Oklahoma",4095393,17,0.42
"Oregon",4272371,0,0
"Pennsylvania",13078751,15,0.11
"Rhode Island",1112308,1,0.09
"South Carolina",5478831,0,0
"South Dakota",924669,2,0.22
"Tennessee",7227750,6,0.08
"Texas",31290831,782,2.5
"Utah",3503613,0,0
"Vermont",648493,1,0.15
"Virginia",8811195,3,0.03
"Washington",7958180,6,0.08
"West Virginia",1769979,0,0
"Wisconsin",5960975,0,0
"Wyoming",587618,0,0
